Player,Hands,Result,RakePaid,FlatRB,winrate,Rbwinrate,Rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 477,756,-397.34,87.7,17.54,-52.55820106,-50.23809524,0.044143555,0,0,0,1
Player 478,754,-16.72,85.57,17.114,-2.217506631,0.052254642,1.023564593,0,1,1,1
Player 479,753,-136.85,66.5,13.3,-18.17397078,-16.40770252,0.097186701,0,0,0,1
Player 480,750,-181.57,29.28,5.856,-24.20933333,-23.42853333,0.032252024,0,0,0,1
Player 481,748,-161.63,48.8,9.76,-21.60828877,-20.30347594,0.060384829,0,0,0,1
Player 482,746,-309.02,38.76,7.752,-41.42359249,-40.3844504,0.025085755,0,0,0,1
Player 483,744,-252.64,29.98,5.996,-33.95698925,-33.15107527,0.023733376,0,0,0,1
Player 484,742,87.93,30.94,6.188,11.85040431,12.68436658,0.070374162,1,1,1,1
Player 485,740,5.54,90.81,18.162,0.748648649,3.202972973,3.278339348,1,1,1,1
Player 486,738,-322.62,58.32,11.664,-43.71544715,-42.13495935,0.036153989,0,0,0,1
Player 487,736,43.46,59.65,11.93,5.904891304,7.525815217,0.274505292,1,1,1,1
Player 488,734,-54.74,36.95,7.39,-7.457765668,-6.450953678,0.135001827,0,0,0,1
Player 489,733,-365.85,58.43,11.686,-49.91132333,-48.31705321,0.031942053,0,0,0,1
Player 490,731,128.21,60.17,12.034,17.53898769,19.18522572,0.093861633,1,1,1,1
Player 491,729,-474,85.54,17.108,-65.02057613,-62.67379973,0.036092827,0,0,0,1
